NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
05781722,980286,100,,1
05781722,980310,100,,1
05781722,980330,100,,1
05781731,900030,16179,,1
05781731,980000,16179,,1
05781731,980010,1,,1
05781731,980020,37,,1
05781731,980210,100,,1
05781731,980260,100,,1
05781731,980281,100,,1
05781731,980286,100,,1
05781731,980310,100,,1
05781732,900030,16285,,1
05781732,980000,16285,,1
05781732,980010,1,,1
05781732,980020,37,,1
05781732,980210,100,,1
05781732,980260,100,,1
05781732,980281,100,,1
05781732,980286,100,,1
05781732,980310,100,,1
05781741,900030,46108,,1
05781741,900170,1246,,1
05781741,980000,47354,,1
05781741,980010,2,,1
05781741,980020,67,,1
05781741,980040,2,,1
05781741,980060,2,,1
05781741,980090,100,,1
05781741,980220,100,,1
05781741,980240,100,,1
05781741,980281,100,,1
05781741,980286,100,,1
05781741,980300,100,,1
05781741,980330,100,,1
05781742,900030,46108,,1
05781742,900170,1246,,1
05781742,980000,47354,,1
05781742,980010,2,,1
05781742,980020,67,,1
05781742,980040,2,,1
05781742,980060,2,,1
05781742,980090,100,,1
05781742,980220,100,,1
05781742,980240,100,,1
05781742,980281,100,,1
05781742,980286,100,,1
05781742,980300,100,,1
05781742,980330,100,,1
05781801,900000,143000,,1
05781801,900180,7511,,1
05781801,980000,150511,,1
05781801,980010,2,,1
05781801,980020,63,,1
05781801,980030,2,,1
05781801,980040,2,,1
05781801,980090,100,,1
05781801,980210,100,,1
05781801,980230,100,,1
05781801,980281,100,,1
05781801,980286,100,,1
05781801,980310,100,,1
05781801,980330,100,,1
05781802,900000,143000,,1
05781802,900180,6863,,1
05781802,980000,149863,,1
05781802,980010,2,,1
05781802,980020,63,,1
05781802,980030,2,,1
05781802,980040,2,,1
05781802,980090,100,,1
05781802,980210,100,,1
05781802,980230,100,,1
05781802,980281,100,,1
05781802,980286,100,,1
05781802,980310,100,,1
05781802,980330,100,,1
05781811,900000,26000,,1
05781811,980000,26000,,1
05781811,980010,4,,1
05781811,980020,34,,1
05781811,980030,1,,1
05781811,980040,1,,1
05781811,980050,2,,1
05781811,980210,100,,1
05781811,980260,100,,1
05781811,980281,100,,1
05781811,980285,100,,1
05781811,980290,100,,1
05781811,980330,100,,1
05781812,900000,26000,,1
05781812,980000,26000,,1
05781812,980010,4,,1
05781812,980020,34,,1
05781812,980030,1,,1
05781812,980040,1,,1
05781812,980050,2,,1
05781812,980210,100,,1
05781812,980260,100,,1
05781812,980281,100,,1
05781812,980285,100,,1
05781812,980290,100,,1
05781812,980330,100,,1
05781841,900000,4495,,1
05781841,980000,4495,,1
05781841,980010,1,,1
05781841,980020,30,,1
05781841,980030,1,,1
05781841,980040,1,,1
05781841,980210,100,,1
05781841,980260,100,,1
05781841,980281,100,,1
05781841,980286,100,,1
